,129.0: -29,145.0: -40,36.0: -40,
129.0: -30,145.0: -40,36.0: -47,
129.0: -29,145.0: -48,36.0: -40,
129.0: -30,145.0: -50,36.0: -41,
129.0: -32,145.0: -48,36.0: -42,
129.0: -30,145.0: -54,36.0: -40,
129.0: -29,145.0: -52,36.0: -41,
129.0: -29,145.0: -52,36.0: -44,
129.0: -31,145.0: -40,36.0: -46,
129.0: -31,145.0: -41,36.0: -44,
129.0: -30,145.0: -40,36.0: -40,
129.0: -30,145.0: -40,36.0: -39,
129.0: -32,145.0: -40,36.0: -40,
129.0: -31,145.0: -40,36.0: -40,
36.0: -42,
129.0: -27,145.0: -43,36.0: -42,
145.0: -43,36.0: -40,
129.0: -29,,129.0: -33,36.0: -39,
129.0: -34,145.0: -46,36.0: -41,
36.0: -38,
129.0: -34,145.0: -42,,,129.0: -32,145.0: -40,36.0: -38,
129.0: -32,145.0: -39,36.0: -38,
36.0: -39,
36.0: -40,

